image,desc,link,title
http://cnet3.cbsistatic.com/hub/i/r/2013/09/27/ec74b01a-2aa4-4b32-9168-67b5cb3f0963/thumbnail/140x105/7f6a67e7e40a74d52b2dfdcbfe86e3e5/apple-iphone-5c.jpg,The iPhone 5C is a great $99 phone that basically replicates the well-reviewed iPhone 5 in a more colorful case.,"/products/apple-iphone-5c/,/products/apple-iphone-5c/prices/",Apple iPhone 5C
http://cnet3.cbsistatic.com/hub/i/r/2013/08/28/ab947f3f-7c4d-4858-aa63-64917c126a84/thumbnail/140x105/11bbe62298915f6d1ae8cdbf3c9fc713/06_archimedes_35438535.jpg,"The iPhone 5 completely rebuilds the iPhone on a framework of new features and design, addressing its major previous shortcomings. It's absolutely the best iPhone to date, and it easily secures its place in the top tier of the smartphone universe.","/products/apple-iphone-5/,/products/apple-iphone-5/prices/",Apple iPhone 5
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/fd1e695a-5e92-40a2-8c27-f61ad6b4a624/thumbnail/140x105/8e6fedf18a40eb66d914dc7d65ee33ff/apple-iphone-4-8gb-white-virgin-mobile.jpg,"At a hefty cost, the Virgin Mobile iPhone 4 delivers an unlimited plan without a contract -- just don't expect blazing-fast data speeds.","/products/apple-iphone-4-virgin-mobile/,/products/apple-iphone-4-virgin-mobile/prices/","Apple iPhone 4,"
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/e6bf9bfd-07c2-419b-b05a-f14904b51fe4/thumbnail/140x105/8f6071ea896f9055fb6b2462db616198/apple-iphone-4s-32gb-black-verizon-wireless.jpg,"The iPhone 4S isn't the king of cell phones, but it's part of the royal family nonetheless. Even without 4G and a giant screen, this phone's smart(ass) voice assistant, Siri, the benefits of iOS 5, and its spectacular camera make it a top choice for anyone ready to upgrade.","/products/verizon-wireless-iphone-4s/,/products/verizon-wireless-iphone-4s/prices/","Apple iPhone 4S,"
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/38658bc6-527e-4205-8ba8-bba70a9fdb03/thumbnail/140x105/84d823a7f3fa07a38dd63ebaa7b0c938/apple-iphone-4s-64gb-black-at-t.jpg,"The iPhone 4S isn't the king of cell phones, but it's part of the royal family nonetheless. Even without 4G and a giant screen, this phone's smart(ass) voice assistant, Siri, the benefits of iOS 5, and its spectacular camera make it a top choice for anyone ready to upgrade.","/products/at-t-iphone-4s/,/products/at-t-iphone-4s/prices/","Apple iPhone 4S,"
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/a2851501-ae57-4050-8c06-1d59ba4c6d95/thumbnail/140x105/4949fef1a7917f9f8b2af8507c9283c7/apple-iphone-4s-64gb-black-sprint.png,"The iPhone 4S isn't the king of cell phones, but it's part of the royal family nonetheless. Even without 4G and a giant screen, this phone's smart(ass) voice assistant, Siri, the benefits of iOS 5, and its spectacular camera make it a top choice for anyone ready to upgrade.","/products/sprint-iphone-4s/,/products/sprint-iphone-4s/prices/","Apple iPhone 4S,"
http://cnet4.cbsistatic.com/hub/i/r/2010/06/08/93fc1199-3b66-4ed9-b962-8dac6c0bfff4/thumbnail/140x105/eb94f1b9dbf47b0b7d4cffa4536ac365/apple-iphone-4-smartphone-cdma-3g-8-gb-3-5-retina-display-black-virgin-mobile.jpg,"The Verizon iPhone 4 has much in common with its AT&T counterpart, but varying features and different performance give it enough room to stand apart. It won't vastly change your iPhone experience, but we welcome the consumer choice that it brings.","/products/apple-iphone-4-verizon-wireless/,/products/apple-iphone-4-verizon-wireless/prices/","Apple iPhone 4,"
http://cnet4.cbsistatic.com/hub/i/r/2010/06/08/93fc1199-3b66-4ed9-b962-8dac6c0bfff4/thumbnail/140x105/eb94f1b9dbf47b0b7d4cffa4536ac365/apple-iphone-4-smartphone-cdma-3g-8-gb-3-5-retina-display-black-virgin-mobile.jpg,"With the iPhone 4, Apple again shows that it is a powerful player in the smartphone wars. It won't be for everyone, the call quality and reception vary if you don't use a case, and AT&T's network remains a sticking point, but the handset's striking design, loaded feature set, and generally agreeable performance make it the best iPhone yet.","/products/apple-iphone-4-at-t/,/products/apple-iphone-4-at-t/prices/","Apple iPhone 4,"
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/335480b8-e1f0-4450-9cb8-3890591cade0/thumbnail/140x105/02ef10f8eab00b1f5394e123a72ab64c/apple-iphone-3gs-32gb-black-at-t.gif,"The iPhone 3GS doesn't make the same grand leap that the iPhone 3G made from the first-generation model, but the latest Apple handset is still a compelling upgrade for some users. The iPhone 3GS is faster and we appreciate the new features and extended battery life, but call quality and 3G reception still need improvement.","/products/apple-iphone-3gs/,/products/apple-iphone-3gs/prices/","Apple iPhone 3GS,"
http://cnet3.cbsistatic.com/hub/i/r/2008/06/12/3e01a3a6-2b9d-401b-b82e-4d91ce7475b7/thumbnail/140x105/92f2e762fa36193cd4e795d3fc64719e/3e01a3a6-2b9d-401b-b82e-4d91ce7475b7.jpg,"The iPhone 3G delivers on its promises by adding critical features and sharper call quality. The iTunes App Store is pretty amazing, and the 3G support is more than welcome. Critical features still are missing, and the battery depletes quickly under heavy use, but the iPhone 3G is a big improvement over the original model.","/products/apple-iphone-3g/,/products/apple-iphone-3g/prices/","Apple iPhone 3G,"
