image,desc,link,title
http://cnet3.cbsistatic.com/hub/i/r/2013/11/01/3b361a48-010d-429c-b27f-7b668b76bdc4/thumbnail/140x105/ed996752d89eceba9eb62e7faf6829fe/Blackberry_Z30_35827877_01_620x433.jpg,"The BlackBerry Z30 lives up the promise of a flagship phone, but it's too little, too late for all but the most committed BlackBerry users.","/products/blackberry-z30/,/products/blackberry-z30/prices/",BlackBerry Z30
http://cnet4.cbsistatic.com/hub/i/r/2013/08/28/42fb8c09-68bb-4384-a1eb-c101049f80a3/thumbnail/140x105/8776f734a97b1d0654cfc340d75dfeaf/35583323-8760.jpg,"Though it's not quite enough to draw committed iPhone or Android owners, the BlackBerry Z10's modern design and features give BlackBerry fans what they've hungered for.,,,",/products/blackberry-z10/,BlackBerry Z10
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/f51b3254-7349-4ca9-acb2-e0a47a890457/thumbnail/140x105/b8134a1261c4bb8c65ca9c259f87b0ac/blackberry-curve-3g-9310-verizon-wireless.jpg,"The BlackBerry Curve 9310 is still the same ho-hum handset you can expect from RIM, but for a $50 BlackBerry (with contract), it's reliable and makes texting a breeze.","/products/blackberry-curve-3g-9310-verizon-wireless/,/products/blackberry-curve-3g-9310-verizon-wireless/prices/","BlackBerry Curve 3G 9310,"
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/3b9740e6-094b-4a79-b258-8d4fc5c21feb/thumbnail/140x105/bc51fac416de342b5bf71a89931d2278/blackberry-curve-9310-boost-mobile.jpg,"The BlackBerry Curve 9310 is still the same ho-hum handset you can expect from RIM, but for a no-contract BlackBerry, it's reliable and makes texting a breeze.","/products/blackberry-curve-9310-boost-mobile/,/products/blackberry-curve-9310-boost-mobile/prices/","BlackBerry Curve 9310,"
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/7ae70052-25d4-40e3-99eb-830b43082ef0/thumbnail/140x105/4e3fa1689558653ff4103e742e6f66e8/blackberry-curve-9370-verizon-wireless.jpg,"Verizon's BlackBerry Curve 9370 brings you BlackBerry 7 OS and a global-ready SIM slot in an ultraportable package. Unfortunately, some design flaws and a high price for an entry-level device make the QWERTY handset hard to recommend to anyone except BlackBerry devotees.","/products/blackberry-curve-9370-verizon-wireless/,/products/blackberry-curve-9370-verizon-wireless/prices/","BlackBerry Curve 9370,"
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/58a329a6-5114-4308-b85d-b45fb1aa7c97/thumbnail/140x105/a0a39005b4cce2e798cbdb9d272cf139/blackberry-torch-9810-t-mobile.png,"The RIM BlackBerry Torch 9810 should satisfy BlackBerry fans with its responsive touch screen and overall specs, but for $50 more, T-Mobile customers could get the much better Bold 9900 instead.,,,",/products/blackberry-torch-9810-t-mobile/,"BlackBerry Torch 9810,"
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/2110f73f-f175-4d3f-b740-d9f56048b164/thumbnail/140x105/03a2b89e57fec35fec0da1325c1fc757/blackberry-curve-9350-black-sprint.jpg,"For those who seek an affordable and entry-level BlackBerry, the BlackBerry Curve 9350 is the way to go.","/products/blackberry-curve-9350-sprint/,/products/blackberry-curve-9350-sprint/prices/","BlackBerry Curve 9350,"
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/a35b34e3-b785-4705-96cf-24f5ee2e1449/thumbnail/140x105/70a0162983d9d66b1a233ea94e32f988/blackberry-curve-9360-t-mobile.jpg,"The RIM BlackBerry Curve 9360 makes a great entry-level offering for those already in the BlackBerry camp.,,,",/products/blackberry-curve-9360-t-mobile/,"BlackBerry Curve 9360,"
http://cnet3.cbsistatic.com/hub/i/r/2011/10/23/89d0a756-5010-448b-a175-32f81ccf2a73/thumbnail/140x105/963e0c1c8471cb6168952eafc07a8330/blackberry-torch-9850-blackberry-smartphone-cdma-gsm-umts-3g-4-gb-3-7-tft-black-verizon.jpg,"The RIM BlackBerry Torch 9850 for Verizon Wireless is a laudable midrange smartphone, but it faces stiff competition.","/products/blackberry-torch-9850-verizon-wireless/,/products/blackberry-torch-9850-verizon-wireless/prices/","BlackBerry Torch 9850,"
http://cnet4.cbsistatic.com/hub/i/r/2011/08/21/18d46507-67e1-43b0-914c-deb558542beb/thumbnail/140x105/267694b8b430c9da40aca9f02f921752/blackberry-bold-9900-4g-blackberry-smartphone-gsm-umts-3g-8-gb-2-8-tft-black-t-mobile.jpg,"BlackBerry enthusiasts will love the BlackBerry Bold 9900, but its high price tag will be a deterrent to many.","/products/blackberry-bold-9900-t-mobile/,/products/blackberry-bold-9900-t-mobile/prices/","BlackBerry Bold 9900,"
http://cnet4.cbsistatic.com/hub/i/r/2010/08/31/f88d5b8a-5306-4d81-b9c8-b1caae903b0c/thumbnail/140x105/083d52e470f9a9950a744c9a7937315d/blackberry-curve-8530-blackberry-smartphone-cdma-3g-2-5-tft-black-metropcs.jpg,"Though not the best BlackBerry on the market, the Curve 8530 is a great entry-level smartphone, especially with MetroPCS's inexpensive unlimited monthly plan.","/products/blackberry-curve-8530-metropcs/,/products/blackberry-curve-8530-metropcs/prices/","BlackBerry Curve 8530,"
http://cnet3.cbsistatic.com/hub/i/r/2011/01/11/4c52ca9c-bf79-4f2d-bc0f-0d671de5ae98/thumbnail/140x105/a6be0a40625e8e701bf2a2a7c89f2db6/4c52ca9c-bf79-4f2d-bc0f-0d671de5ae98.jpg,"Though performance could be better and it could stand for some hardware upgrades, the RIM BlackBerry Torch 9800 and BlackBerry OS 6 offer much-needed improvements to stay in step with the competition, and keep BlackBerry enthusiasts happy.","/products/blackberry-torch-9800/,/products/blackberry-torch-9800/prices/","BlackBerry Torch 9800,"
http://cnet4.cbsistatic.com/hub/i/r/2010/07/05/b6b305cd-6845-45e5-8d84-db08c0c937a9/thumbnail/140x105/3a709ef2ea40ed3a965a838fd43530fb/blackberry-bold-9650-blackberry-smartphone-gsm-umts-3g-2-45-tft-black-refurbished-verizon.jpg,Verizon customers looking for a messaging smartphone with world roaming capabilities have a solid choice in the RIM BlackBerry Bold 9650.,"/products/blackberry-bold-9650-verizon-wireless/,/products/blackberry-bold-9650-verizon-wireless/prices/","BlackBerry Bold 9650,"
http://cnet4.cbsistatic.com/hub/i/r/2010/10/12/7df22161-e806-4e90-a32f-ebaeb7341b61/thumbnail/140x105/f143a75a25c880681fd5a9bbac3834db/blackberry-bold-9650-blackberry-smartphone-gsm-umts-3g-2-45-tft-sprint-nextel.jpg,"Though nothing revolutionary, the RIM BlackBerry Bold 9650 brings some welcome additions and offers Sprint customers a solid messaging world phone.","/products/blackberry-bold-9650/,/products/blackberry-bold-9650/prices/","BlackBerry Bold 9650 without camera,"
http://cnet4.cbsistatic.com/hub/i/r/2010/03/15/3f2e3e4b-bb42-4e8e-8f0e-751ee7024d96/thumbnail/140x105/1c11b42b587f3bd506ae3af330733e04/blackberry-curve-8530-blackberry-smartphone-cdma-2-5-tft-ruby-red-sprint-nextel.jpg,"Some design issues aside, the RIM BlackBerry Curve 8530 is a great value for Sprint customers looking for an entry-level smartphone.","/products/blackberry-curve-8530-sprint/,/products/blackberry-curve-8530-sprint/prices/","BlackBerry Curve 8530,"
http://cnet3.cbsistatic.com/hub/i/r/2009/11/22/ae025d37-bb1b-4f3f-9438-0ee67495c634/thumbnail/140x105/fb8a472062b31f9182cf546a930ed16b/blackberry-curve-8530-blackberry-smartphone-cdma-2-5-tft-smoky-violet-verizon.jpg,"While we're not huge fans of the design, the RIM BlackBerry Curve 8530 is a good choice for first-time smartphone buyers and offers more than its GSM counterpart.","/products/blackberry-curve-8530/,/products/blackberry-curve-8530/prices/","BlackBerry Curve 8530,"
http://cnet3.cbsistatic.com/hub/i/r/2009/10/23/e43d958f-f56a-4f52-842a-dabc8902e2eb/thumbnail/140x105/a06a917d8886f766576a61c098d63b64/blackberry-bold-9780-blackberry-smartphone-gsm-umts-3g-black-refurbished.jpg,"The RIM BlackBerry Bold 9700 brings T-Mobile its first 3G BlackBerry and improves on its predecessor with a sleeker design and more power. We only wish it had a better browser to complete the package.,,,",/products/blackberry-bold-9700-t-mobile/,"BlackBerry Bold 9700,"
http://cnet4.cbsistatic.com/fly/117-fly/bundles/cnetcss/images/placeholder/image_placeholder.png,"The RIM BlackBerry Storm 2 brings some welcome additions, such as Wi-Fi, updated software, and a better touch interface, but it's going to face some serious competition from Verizon's upcoming touch-screen smartphones.","/products/blackberry-storm-2-verizon-wireless/,/products/blackberry-storm-2-verizon-wireless/prices/","BlackBerry Storm 2,"
http://cnet3.cbsistatic.com/hub/i/r/2008/07/17/bda4e059-ec30-4980-833d-865949d34536/thumbnail/140x105/072c903f6b2581c57bfc1dc525a58457/blackberry-curve-8330-blackberry-smartphone-cdma-tft-red-sprint-nextel.jpg,"Despite some spotty call quality, the RIM BlackBerry Curve 8330 for Sprint is a great messaging device with the bonus of EV-DO and integrated GPS. Plus, it offers more services than the Verizon BlackBerry Curve.","/products/blackberry-curve-8330-sprint/,/products/blackberry-curve-8330-sprint/prices/","BlackBerry Curve 8330,"
http://cnet3.cbsistatic.com/hub/i/r/2009/10/12/e64db3b8-9f3e-42aa-ae2e-cde8989b39d9/thumbnail/140x105/6264fc738ba7c31f39e7d190a4f0a35a/e64db3b8-9f3e-42aa-ae2e-cde8989b39d9.jpg,"The RIM BlackBerry Curve 8520 is a sleek entry-level smartphone that delivers some nice design enhancements and great performance. While available directly from T-Mobile, Wal-Mart offers the better value on the smartphone.","/products/blackberry-curve-8520/,/products/blackberry-curve-8520/prices/","BlackBerry Curve 8520,"
