image,desc,link,title
http://cnet3.cbsistatic.com/hub/i/r/2012/01/18/1650cc36-540f-4984-8e3e-217c276d3823/thumbnail/140x105/bfa6228c313749a87fddce4f94349cf1/1650cc36-540f-4984-8e3e-217c276d3823.jpg,"If you absolutely crave a physical keyboard and swift 4G data for less, you'll find plenty to like about T-Mobile's MyTouch Q. More selective smartphone shoppers, however, will want to look elsewhere.","/products/t-mobile-mytouch-q-lg/,/products/t-mobile-mytouch-q-lg/prices/","T-Mobile myTouch Q,"
http://cnet3.cbsistatic.com/hub/i/r/2011/11/23/efcac2f0-9db8-4f08-8901-7d554e41c427/thumbnail/140x105/aacc5d756363db38114af2d4564ebec0/htc-wildfire-s-android-phone-cdma-3g-3-2-metropcs.jpg,"Despite its small stature, the HTC Wildfire S is well-crafted and easy on the eye. Unfortunately, a slow data network holds it back.,,,",/products/htc-wildfire-s-metropcs/,"HTC Wildfire S,"
http://cnet3.cbsistatic.com/hub/i/r/2011/09/05/8ad03cd7-ef21-4c3b-978e-6d95d1215116/thumbnail/140x105/a71afd5218e3c244bf4b94b613b02482/htc-titan-windows-phone-gsm-umts-3g-16-gb-4-7-super-lcd.jpg,"The HTC Titan's big and beautiful design and impressive features make it one of the better Windows Phone offerings on AT&T.,,,",/products/htc-titan-at-t/,"HTC Titan,"
http://cnet4.cbsistatic.com/fly/117-fly/bundles/cnetcss/images/placeholder/image_placeholder.png,"If you can get past its small size, the HTC Wildfire S is a bargain for first-time smartphone customers with few-to-no expectations.","/products/htc-wildfire-s-white-t-mobile/,/products/htc-wildfire-s-white-t-mobile/prices/","HTC Wildfire S,"
http://cnet4.cbsistatic.com/fly/117-fly/bundles/cnetcss/images/placeholder/image_placeholder.png,"If you can get past its small size, the HTC Wildfire S is a bargain for first-time smartphone customers with few-to-no expectations.","/products/htc-wildfire-s-virgin-mobile/,/products/htc-wildfire-s-virgin-mobile/prices/","HTC Wildfire S,"
http://cnet4.cbsistatic.com/hub/i/r/2011/03/14/909b57b6-684d-431a-8aba-8d8890575f7f/thumbnail/140x105/923b3aa7e183cd04dd9babe444c7a963/htc-wildfire-s-android-phone-gsm-umts-3g-3-2-white-silver.jpg,"If you can get past its small size, the HTC Wildfire S is a bargain for first-time smartphone customers with few-to-no expectations.","/products/htc-wildfire-s-white-unlocked/,/products/htc-wildfire-s-white-unlocked/prices/","HTC Wildfire S,"
http://cnet4.cbsistatic.com/fly/117-fly/bundles/cnetcss/images/placeholder/image_placeholder.png,"If you can get past its small size, the HTC Wildfire S is a bargain for first-time smartphone customers with few-to-no expectations.,,,",/products/htc-wildfire-s-white-t-mobile-refurbished/,"HTC Wildfire S,"
http://cnet3.cbsistatic.com/hub/i/r/2011/11/06/c54098ff-8a47-454f-bb4a-9a2e403f32a8/thumbnail/140x105/c50035a7a2cbf7127c5654b600fb4abb/htc-rezound-android-phone-cdma-4g-16-gb-4-3-super-lcd-verizon-with-beats-solo-headphones.jpg,"While it may have a hefty build, the HTC Rezound's beautiful display, commendable performance, and multimedia-rich features make it a top phone for Verizon customers.","/products/htc-rezound-verizon-wireless/,/products/htc-rezound-verizon-wireless/prices/","HTC Rezound,"
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/ec0818a3-8b16-41f5-be6b-56bf6d9ab7de/thumbnail/140x105/cd390f7ffc2476d49f414416f30583f7/htc-vivid-black-at-t.png,"If you can overlook the cheap plastic design, the HTC Vivid delivers an all-around excellent user experience at a palatable price.","/products/htc-vivid-at-t/,/products/htc-vivid-at-t/prices/","HTC Vivid,"
http://cnet3.cbsistatic.com/hub/i/r/2011/12/07/7236cb8f-5b10-442f-9846-2c9da14d03b6/thumbnail/140x105/a47bfe19125ae24ab11e002a072082b7/7236cb8f-5b10-442f-9846-2c9da14d03b6.jpg,"The combination of a beautiful design, Windows Phone, and an affordable price tag makes the HTC Radar 4G a great smartphone for first-time buyers and those who don't need all the bells and whistles.","/products/htc-radar-4g-t-mobile/,/products/htc-radar-4g-t-mobile/prices/","HTC Radar 4G,"
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/fa3cc54e-998b-45ea-b634-71fe792f2bb5/thumbnail/140x105/ada8ae319f67426640574cca7bf2dfb5/htc-evo-design-4g-sprint.png,"The HTC Evo Design 4G gives you a lot of smartphone for a good price--fast 4G speeds, a good camera, a strong processor, and a sophisticated design. It's an excellent choice for Sprint customers, except those who are specifically looking for a dual-core phone.","/products/htc-evo-design-4g-sprint/,/products/htc-evo-design-4g-sprint/prices/","HTC Evo Design 4G,"
http://cnet4.cbsistatic.com/hub/i/r/2011/10/16/78cc647a-69b2-4912-8148-f7c6edf42474/thumbnail/140x105/b51fc946a420c6fc3d523d21adb3d788/htc-amaze-4g-android-phone-gsm-umts-3g-16-gb-4-3-super-lcd-white-t-mobile.jpg,"The HTC Amaze 4G is a beautifully designed and fast Android smartphone, with some advanced camera features, but don't go ditching your point-and-shoot camera just yet.","/products/htc-amaze-4g/,/products/htc-amaze-4g/prices/","HTC Amaze 4G,"
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/f28644c6-7d19-444d-b083-30e3e7cda21a/thumbnail/140x105/e21708c4595af703fddb8ac3e23cb9fc/htc-rhyme-verizon-wireless.png,"Though certain aspects of the phone limit its appeal to a larger audience, the HTC Rhyme is a solid and stylish midrange Android device that comes with some nice accessories.","/products/htc-rhyme-verizon-wireless/,/products/htc-rhyme-verizon-wireless/prices/","HTC Rhyme,"
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/7bbaa890-df49-4a13-8b32-f1afbadb783f/thumbnail/140x105/29ae1d8489a4be24d5bb56f38e3b9264/t-mobile-mytouch-4g-slide-khaki.png,"The T-Mobile MyTouch 4G Slide is a well-designed, feature-packed dual-core handset that can stand alongside today's premium smartphones.,,,",/products/t-mobile-mytouch-4g-slide/,T-Mobile MyTouch 4G Slide
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/26cc268e-6184-40a8-bc7a-aa423b4bae62/thumbnail/140x105/ab2f3b2f683795abaeebafbbf964b6a3/htc-status-white-at-t.png,"The HTC Status offers stellar hardware and a fantastic Facebook experience, but it's hampered by a tiny landscape-oriented screen.","/products/htc-status/,/products/htc-status/prices/","HTC Status,"
http://cnet4.cbsistatic.com/hub/i/r/2011/06/23/a2e4e1a3-b96c-43b1-a695-e0f06e57df84/thumbnail/140x105/42e650693afac47e389afd0f0dfec5dc/htc-7-pro-windows-phone-cdma-3g-16-gb-3-6-u-s-cellular.jpg,"U.S. Cellular's first Windows Phone 7 phone is a solid effort, although the HTC 7 Pro will disappoint those looking for a large, vibrant screen.,,,",/products/htc-7-pro-u-s-cellular/,"HTC 7 Pro,"
http://cnet4.cbsistatic.com/hub/i/r/2011/04/17/cf91d474-9bc8-41ea-835b-7c1cafb31447/thumbnail/140x105/c4eeddf0bf405485ef8370ad41dd72af/htc-evo-3d-android-phone-cdma-4g-4-gb-4-3-super-lcd-sprint-nextel.jpg,"The 3D features are a fun addition, but it's the HTC Evo 3D's zippy performance and improved battery life that make this Android smartphone one of Sprint's best.","/products/htc-evo-3d-sprint/,/products/htc-evo-3d-sprint/prices/","HTC Evo 3D,"
http://cnet4.cbsistatic.com/hub/i/r/2011/06/07/2c2804c8-c79c-4170-b8ec-fde05be133b0/thumbnail/140x105/2309b51d41d6d35e0aee6ad4b8180087/htc-merge-android-phone-cdma-gsm-umts-3g-3-8-u-s-cellular.jpg,"The HTC Merge is a decent Android smartphone for U.S. Cellular, but its heft and stubborn slider could turn some away.,,,",/products/htc-merge-u-s-cellular/,"HTC Merge,"
http://cnet3.cbsistatic.com/hub/i/r/2011/04/15/e91b7dcf-8e18-4a24-b756-99f5d7f64288/thumbnail/140x105/63160b7e28a5eb6f28d9c7b9753c35a6/e91b7dcf-8e18-4a24-b756-99f5d7f64288.jpg,"Its excellent design and user experience, coupled with its solid performance, make the HTC Sensation 4G one of the best Android phones yet and a top pick for T-Mobile customers.","/products/htc-sensation-4g-t-mobile/,/products/htc-sensation-4g-t-mobile/prices/","HTC Sensation 4G,"
