image,desc,link,title
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/ba0ae516-f742-4aad-a2a0-8da942780917/thumbnail/140x105/a7918d92a34abcd257c242dba4c1aad2/Nokia_Lumia_Icon_35835068_9995_05.jpg,"Buy the Nokia Lumia Icon for its beautiful display and well-rounded features, but skip it if you require gobs of storage, are on a budget, or prefer a power user's OS.","/products/nokia-lumia-icon-verizon-wireless/,/products/nokia-lumia-icon-verizon-wireless/prices/","Nokia Lumia Icon,"
http://cnet4.cbsistatic.com/hub/i/r/2014/02/04/7fa4c179-033a-4b79-9c02-5b09e3cf7029/thumbnail/140x105/fddfee5c27f3a3357d1bf01d64bfc267/Nokia_Asha_503_35829232-7442-010_620x433.jpg,"With its cheap price and unusual, attractive design, the Nokia Asha 503 is a budget phone for essential calls, texts and social networking. Even so, its poor screen and meagre selection of apps means it's perhaps worth looking at low-cost Android phones.,,,",/products/nokia-asha-503/,Nokia Asha 503
http://cnet4.cbsistatic.com/hub/i/r/2014/01/29/2553c697-a661-11e3-a24e-d4ae52e62bcc/thumbnail/140x105/03379e4acaf822e68fffa2895870b645/Nokia_Lumia_1320_35829229-73194.jpg,"Steer toward Nokia's Lumia 1320 for an affordable supersize phone you can rely on, but not before checking out Android rivals with fancier specs and comparable price tags.","/products/nokia-lumia-1320/,/products/nokia-lumia-1320/prices/",Nokia Lumia 1320
http://cnet4.cbsistatic.com/hub/i/r/2013/11/18/f13ccaef-9f04-4403-ab6c-52c6b481fa05/thumbnail/140x105/15872b7ee0c6208c5784fb079b76a90d/Nokia%20Lumia%201520%2035829228-7277.jpg,"The Nokia Lumia 1520 has a gorgeous, high-definition screen, a powerful core, solid battery life and a good camera. It's monstrously big though, which won't suit everyone and there are very few apps to choose from in the Windows Phone store.","/products/nokia-lumia-1520-series/,/products/nokia-lumia-1520-series/prices/",Nokia Lumia 1520
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/eda0b308-e156-4c75-b898-ca55b38b5cde/thumbnail/140x105/625b1ecd710bbe9e248efce05f01cd77/nokia-lumia-625.jpg,"Despite a few faults, the Lumia 625’s smooth, higher-end design and solid performance make it a great value for the price.","/products/nokia-lumia-625-windows-phone-gsm-umts-isnokialumia625blackuk/,/products/nokia-lumia-625-windows-phone-gsm-umts-isnokialumia625blackuk/prices/",Nokia Lumia 625
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/e276c521-467d-4043-9dff-9eabe69c34f5/thumbnail/140x105/6d7bc36deec6daf027c7e0712132d939/nokia-asha-501.jpg,"For $99, the Nokia Asha 501 is worth getting if you want a small, simple, colorful feature phone. However, U.S. denizens will have to buy it unlocked.,,,",/products/nokia-asha-501/,Nokia Asha 501
http://cnet4.cbsistatic.com/hub/i/r/2013/11/13/19050d92-6e97-4ab7-8b3e-b5604831568b/thumbnail/140x105/b127e952b07729ceceb6559a58e66031/004Nokia_Lumia_1020_35822762_610x436.jpg,"Avid mobile photographers will love the Nokia Lumia 1020's exact controls, but casual users should stick to cheaper camera phones.","/products/nokia-lumia-1020/,/products/nokia-lumia-1020/prices/",Nokia Lumia 1020
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/94f3d42e-66d4-4bf5-b653-d9a237604dfe/thumbnail/140x105/93ebd4a5c925607ebbe4704d6fea9657/nokia-lumia-925.jpg,"Nokia's lovely Lumia 925 delivers a high-end Windows Phone experience, but camera snobs with deep pockets should hold out for AT&T's Lumia 1020.","/products/nokia-lumia-925/,/products/nokia-lumia-925/prices/",Nokia Lumia 925
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/b836c571-0a81-483c-b042-53593e083bb3/thumbnail/140x105/4717944be0afc777d6a3b35f821baaff/nokia-lumia-521-t-mobile.jpg,"Nokia's Lumia 521 is one of the best bargain smartphones on any platform, but skip it if LTE is of paramount concern.","/products/nokia-lumia-521-t-mobile/,/products/nokia-lumia-521-t-mobile/prices/","Nokia Lumia 521,"
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/75e02442-54ec-4d5b-8725-5e712af156ed/thumbnail/140x105/58b16e3648e819a0a9d59e9ff9025d62/nokia-lumia-928-verizon-wireless.jpg,"Windows Phone fans on Verizon should buy the $100 Nokia Lumia 928 for its strong feature set, but watch out for slower-than-usual data speeds.","/products/nokia-lumia-928-verizon-wireless/,/products/nokia-lumia-928-verizon-wireless/prices/","Nokia Lumia 928,"
