image,desc,link,title
http://cnet3.cbsistatic.com/hub/i/r/2013/07/31/f2ae1311-619f-11e3-b231-14feb5ca9861/thumbnail/140x105/3bae8ef8b0871f2554d3b8a099e6ca41/Samsung_Galaxy_Zoom_35792092-8682_1.jpg,"Buy the Zoom if you'd like a flexible two-in-one camera/smartphone, no matter the size. But enthusiasts should stick to standalone shooters, and slimmer smartphones -- like the arguably better Nokia Lumia 1020 -- will satisfy most photo needs.,Please visit Samsung for additional models",/products/samsung-galaxy-s4-zoom/,Samsung Galaxy S4 Zoom
http://cnet3.cbsistatic.com/hub/i/r/2013/07/09/c98ca758-403d-4dab-8473-29fcd4714428/thumbnail/140x105/99efff29f69966ae2acb878c4b8418ab/samsung-gravity-q-cellular-phone-gsm-umts-3g-tft-brown-t-mobile.jpg,"If you're not opting for a smartphone and you can look past its dated design, the Samsung Gravity Q is your best choice for a T-Mobile keyboard phone.,,,",/products/samsung-gravity-q-t-mobile/,"Samsung Gravity Q,"
http://cnet3.cbsistatic.com/hub/i/r/2013/07/08/b9414961-4b88-4c2b-bdaf-ca0605a1b7af/thumbnail/140x105/b685f78191f4be12ac71f23700b64f54/samsung-freeform-5-cellular-phone-cdma-3g-tft-u-s-cellular.jpg,"Consider buying the Samsung Freeform 5 if you really need a QWERTY feature phone, but rival handsets will get you about the same experience for less.,,,",/products/samsung-freeform-5-u-s-cellular/,"Samsung Freeform 5,"
http://cnet3.cbsistatic.com/hub/i/r/2013/06/25/a23910ed-63a7-11e3-8abe-14feb5ca9861/thumbnail/140x105/70001a12d8c1327523292f921b1d11cf/Samsung_Galaxy_S4_Google_35761621-0378.jpg,"Unless you're an Android enthusiast or demand total freedom from carriers, the Samsung Galaxy S4 Google Play Edition isn't worth the hefty price.","/products/samsung-galaxy-s4-google-play-edition-unlocked/,/products/samsung-galaxy-s4-google-play-edition-unlocked/prices/","Samsung Galaxy S4 Google Play Edition,"
http://cnet3.cbsistatic.com/hub/i/r/2013/06/20/fe4ee2f2-7bf2-4090-b1a7-b6715d5d4f35/thumbnail/140x105/014cf14af547ab7f647ff4e960669ca5/fe4ee2f2-7bf2-4090-b1a7-b6715d5d4f35.jpg,"If you're within newbie Aio Wireless' tiny network and looking for an affordable Android phone, the Samsung Galaxy Amp is a good buy.,Please visit Samsung for additional models",/products/samsung-galaxy-amp-aio-wireless/,"Samsung Galaxy Amp,"
http://cnet3.cbsistatic.com/hub/i/r/2013/04/22/3c900d7a-053a-11e3-bf02-d4ae52e62bcc/thumbnail/140x105/3c0065029faa39eca04f140347991f5d/Samsung_Galaxy_S4_35627724-9242.jpg,"Its laundry list of features require time and effort to truly master, but the Galaxy S4 is the top choice for anyone looking for a big-screen, do-everything smartphone.","/products/samsung-galaxy-s4/,/products/samsung-galaxy-s4/prices/",Samsung Galaxy S4
http://cnet3.cbsistatic.com/hub/i/r/2013/01/14/c8df63c3-2f56-47b3-865a-685a96f4a4b1/thumbnail/140x105/8dd9fa4b6e5fb372b242696fe21c79c1/samsung-rugby-iii-cellular-phone-gsm-umts-3g-black-at-t.jpg,"Very poor call quality is especially unacceptable on a simple cell phone. Unless you require AT&T's push-to-talk service, keep looking.","/products/samsung-rugby-3-at-t/,/products/samsung-rugby-3-at-t/prices/","Samsung Rugby 3,"
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/eaf763f7-cbd2-43b9-bd01-bac20ac0cd95/thumbnail/140x105/52178a1134cd48ce050d9b23bfd69857/samsung-galaxy-admire-4g-metropcs.jpg,"The Samsung Galaxy Admire 4G is a dependable handset in its own right, but it just can't top the cheaper, faster, Android 4.0 LG Motion 4G.,,,",/products/samsung-galaxy-admire-4g-metropcs/,"Samsung Galaxy Admire 4G,"
http://cnet4.cbsistatic.com/hub/i/r/2013/01/31/220b1a48-6e32-4350-abf0-09594df333bd/thumbnail/140x105/4ba46952a60607c401a3252a8d65f2d0/samsung-ativ-odyssey-windows-phone-cdma-gsm-umts-4g-8-gb-4-super-amoled-metallic-silver-verizon.jpg,"The Samsung Ativ Odyssey provides an affordable but not thrilling Windows Phone 8 experience.,,,",/products/samsung-ativ-odyssey/,Samsung Ativ Odyssey
http://cnet4.cbsistatic.com/hub/i/r/2012/12/02/77e4b7ac-7d5c-4763-9950-9c2a226897f7/thumbnail/140x105/8e69f011da97912fbae6cc863c169890/samsung-galaxy-stratosphere-2-sch-i415-android-phone-cdma-gsm-umts-4g-8-gb-4-super-amoled-black-verizon.jpg,"Although it isn't banging on all cylinders when it comes to top-tier specs, the Samsung Galaxy Stratosphere II's reliable performance makes it the QWERTY keyboard phone to buy on Verizon.","/products/samsung-galaxy-stratosphere-ii-verizon-wireless/,/products/samsung-galaxy-stratosphere-ii-verizon-wireless/prices/","Samsung Galaxy Stratosphere II,"
