image,desc,link,title
http://cnet3.cbsistatic.com/hub/i/r/2014/02/24/6b4aadb7-78d7-44ec-9d06-3bb99fd0ba0f/thumbnail/140x105/2f9ae425d58f2f8154100a0ac4f932c0/sony-ericsson-w710i-walkman-mobile-phone-gsm-tft.jpg,The Sony Ericsson W710i is solid addition to Sony Ericsson's Walkman phone line despite a few design hiccups and some missing features.,"/products/sony-ericsson-w710i/,/products/sony-ericsson-w710i/prices/","Sony Ericsson W710i,"
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/a6275b3c-995a-43c1-94c7-b1eceb8808e2/thumbnail/140x105/e344a89c985f52760a957af22df9c7c3/sony-ericsson-p990i-unlocked.gif,"The Sony Ericsson P990i may be the perfect smart phone for tech-minded consumers, but its exorbitantly high price may put a lot of people off.","/products/sony-ericsson-p990i-unlocked/,/products/sony-ericsson-p990i-unlocked/prices/","Sony Ericsson P990i,"
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/a2f0ef53-9216-49ae-991b-541e93a32cc4/thumbnail/140x105/5521a32391a2141462fb4927f3e69389/sony-ericsson-k800i-cyber-shot-unlocked.gif,"With an amazing selection of features and great performance, the Sony Ericsson K7800i joins the company's K790a as a superior camera phone.","/products/sony-ericsson-k800i-cyber-shot-unlocked/,/products/sony-ericsson-k800i-cyber-shot-unlocked/prices/","Sony Ericsson K800i Cyber-shot,"
http://cnet4.cbsistatic.com/hub/i/r/2006/01/12/ca0d5b1b-7d0d-43a2-b1b1-0fc706706470/thumbnail/140x105/4d7e2b690201b9583c5df487d395ffab/sony-ericsson-w810i-walkman-mobile-phone-gsm-tft-satin-black.jpg,"Sony Ericsson succeeds again with its third Walkman phone for the U.S. market, but the W810i brings only minor improvements over earlier models.","/products/sony-ericsson-w810i-at-t/,/products/sony-ericsson-w810i-at-t/prices/","Sony Ericsson W810i,"
http://cnet4.cbsistatic.com/hub/i/r/2010/05/07/cd263e01-cd40-4f27-b20c-948d28952be9/thumbnail/140x105/af641daa5a60d60e179ef7f9b6bcde34/sony-ericsson-p910i-smartphone-gsm-tft-ambient-silver.jpg,The Sony Ericsson P910a offers road warriors a superb smart phone and multimedia alternative to devices such as the Treo 650 and the BlackBerry.,"/products/sony-ericsson-p910a-unlocked/,/products/sony-ericsson-p910a-unlocked/prices/","Sony Ericsson P910a,"
http://cnet4.cbsistatic.com/hub/i/r/2011/09/20/7eba9925-a676-4c3a-8956-aed734a652db/thumbnail/140x105/fedd84951ee62cd17d117b2d5abdd81a/sony-ericsson-xperia-arc-s-android-phone-gsm-umts-3g-4-2-tft-gloss-black.jpg,This product has not yet been reviewed.,"/products/sony-ericsson-xperia-arc-s-smartphone-wcdma-umts-gsm-series/,/products/sony-ericsson-xperia-arc-s-smartphone-wcdma-umts-gsm-series/prices/",Sony Ericsson XPERIA Arc S
http://cnet3.cbsistatic.com/hub/i/r/2011/06/27/c5bdd20e-6df7-4321-9bd6-72a39341749f/thumbnail/140x105/937602a69a27660de32d65214cb929b1/sony-ericsson-txt-pro-mobile-phone-gsm-tft-black.jpg,This product has not yet been reviewed.,"/products/sony-ericsson-txt-pro-cellular-phone-gsm-12538855/,/products/sony-ericsson-txt-pro-cellular-phone-gsm-12538855/prices/",Sony Ericsson txt pro
http://cnet4.cbsistatic.com/fly/66-fly/bundles/cnetcss/images/placeholder/image_placeholder.png,This product has not yet been reviewed.,"/products/sony-ericsson-c905-unlocked-phone-with-8-mp-camera/,/products/sony-ericsson-c905-unlocked-phone-with-8-mp-camera/prices/",Sony Ericsson C905 Unlocked Phone with 8 MP Camera
http://cnet3.cbsistatic.com/hub/i/r/2011/06/07/54f8f9b8-d132-4c3a-9493-28191c9d3eeb/thumbnail/140x105/83742bd9128c35fae5b19d53c4b8ffcd/sony-ericsson-xperia-mini-android-phone-gsm-umts-3g-3-tft-black.jpg,This product has not yet been reviewed.,"/products/sony-ericsson-xperia-mini-smartphone-wcdma-umts-gsm-series/,/products/sony-ericsson-xperia-mini-smartphone-wcdma-umts-gsm-series/prices/",Sony Ericsson XPERIA mini
http://cnet3.cbsistatic.com/hub/i/r/2011/09/08/dae67346-168f-480a-8a31-3ed30dac7d59/thumbnail/140x105/0a459c36d2f5dfafd6bbb2fab38946d2/sony-ericsson-live-with-walkman-android-phone-gsm-umts-3g-3-2-tft-black.jpg,This product has not yet been reviewed.,"/products/sony-ericsson-live-with-walkman-smartphone-wcdma-umts-gsm-series/,/products/sony-ericsson-live-with-walkman-smartphone-wcdma-umts-gsm-series/prices/","Sony Ericsson Live with Walkman,"
